time,open,high,low,close,"EU03MY, TVC: Open","EU03MY, TVC: High","EU03MY, TVC: Low","EU03MY, TVC: Close"
2013-11-18T22:00:00Z,0.661,0.661,0.661,0.661,0.025,0.025,0.025,0.025
2013-11-19T22:00:00Z,0.653,0.653,0.653,0.653,0.074,0.074,0.074,0.074
2013-11-20T22:00:00Z,0.661,0.661,0.661,0.661,0.034,0.034,0.034,0.034
2013-11-21T22:00:00Z,0.688,0.688,0.688,0.688,0.099,0.099,0.099,0.099
2013-11-24T22:00:00Z,0.671,0.671,0.671,0.671,0.051,0.051,0.051,0.051
2013-11-25T22:00:00Z,0.649,0.649,0.649,0.649,0.044,0.044,0.044,0.044
2013-11-26T22:00:00Z,0.664,0.664,0.664,0.664,0.044,0.044,0.044,0.044
2013-11-27T22:00:00Z,0.657,0.657,0.657,0.657,0.067,0.067,0.067,0.067
2013-11-28T22:00:00Z,0.655,0.655,0.655,0.655,0.07,0.07,0.07,0.07
2013-12-01T22:00:00Z,0.684,0.684,0.684,0.684,0.041,0.041,0.041,0.041
2013-12-02T22:00:00Z,0.679,0.679,0.679,0.679,0.076,0.076,0.076,0.076
2013-12-03T22:00:00Z,0.768,0.768,0.768,0.768,0.073,0.073,0.073,0.073
2013-12-04T22:00:00Z,0.824,0.824,0.824,0.824,0.086,0.086,0.086,0.086
2013-12-05T22:00:00Z,0.807,0.807,0.807,0.807,0.105,0.105,0.105,0.105
2013-12-08T22:00:00Z,0.809,0.809,0.809,0.809,0.106,0.106,0.106,0.106
2013-12-09T22:00:00Z,0.803,0.803,0.803,0.803,0.106,0.106,0.106,0.106
2013-12-10T22:00:00Z,0.8,0.8,0.8,0.8,0.085,0.085,0.085,0.085
2013-12-11T22:00:00Z,0.827,0.827,0.827,0.827,0.094,0.094,0.094,0.094
2013-12-12T22:00:00Z,0.819,0.819,0.819,0.819,0.126,0.126,0.126,0.126
2013-12-15T22:00:00Z,0.825,0.825,0.825,0.825,0.148,0.148,0.148,0.148
2013-12-16T22:00:00Z,0.805,0.805,0.805,0.805,0.117,0.117,0.117,0.117
2013-12-17T22:00:00Z,0.844,0.844,0.844,0.844,0.084,0.084,0.084,0.084
2013-12-18T22:00:00Z,0.859,0.859,0.859,0.859,0.141,0.141,0.141,0.141
2013-12-19T22:00:00Z,0.878,0.878,0.878,0.878,0.148,0.148,0.148,0.148
2013-12-22T22:00:00Z,0.887,0.887,0.887,0.887,0.139,0.139,0.139,0.139
2013-12-26T22:00:00Z,0.959,0.959,0.959,0.959,0.112,0.112,0.112,0.112
2013-12-29T22:00:00Z,0.927,0.927,0.927,0.927,NaN,NaN,NaN,NaN
2014-01-01T22:00:00Z,0.936,0.936,0.936,0.936,0.1,0.1,0.1,0.1
2014-01-02T22:00:00Z,0.926,0.926,0.926,0.926,0.09,0.09,0.09,0.09
2014-01-05T22:00:00Z,0.894,0.894,0.894,0.894,0.091,0.091,0.091,0.091
2014-01-06T22:00:00Z,0.88,0.88,0.88,0.88,0.075,0.075,0.075,0.075
2014-01-07T22:00:00Z,0.902,0.902,0.902,0.902,0.086,0.086,0.086,0.086
2014-01-08T22:00:00Z,0.902,0.902,0.902,0.902,0.084,0.084,0.084,0.084
2014-01-09T22:00:00Z,0.831,0.831,0.831,0.831,0.088,0.088,0.088,0.088
2014-01-12T22:00:00Z,0.804,0.804,0.804,0.804,0.103,0.103,0.103,0.103
2014-01-13T22:00:00Z,0.808,0.808,0.808,0.808,0.065,0.065,0.065,0.065
2014-01-14T22:00:00Z,0.826,0.826,0.826,0.826,0.077,0.077,0.077,0.077
2014-01-15T22:00:00Z,0.87,0.87,0.87,0.87,0.069,0.069,0.069,0.069
2014-01-16T22:00:00Z,0.843,0.843,0.843,0.843,0.086,0.086,0.086,0.086
2014-01-19T22:00:00Z,0.824,0.824,0.824,0.824,0.066,0.066,0.066,0.066
2014-01-20T22:00:00Z,0.822,0.822,0.822,0.822,0.097,0.097,0.097,0.097
2014-01-21T22:00:00Z,0.838,0.838,0.838,0.838,0.077,0.077,0.077,0.077
2014-01-22T22:00:00Z,0.807,0.807,0.807,0.807,0.114,0.114,0.114,0.114
2014-01-23T22:00:00Z,0.748,0.748,0.748,0.748,0.114,0.114,0.114,0.114
2014-01-26T22:00:00Z,0.765,0.765,0.765,0.765,0.116,0.116,0.116,0.116
2014-01-27T22:00:00Z,0.765,0.765,0.765,0.765,0.122,0.122,0.122,0.122
2014-01-28T22:00:00Z,0.73,0.73,0.73,0.73,0.122,0.122,0.122,0.122
2014-01-29T22:00:00Z,0.706,0.706,0.706,0.706,0.107,0.107,0.107,0.107
2014-01-30T22:00:00Z,0.651,0.651,0.651,0.651,0.103,0.103,0.103,0.103
2014-02-02T22:00:00Z,0.654,0.654,0.654,0.654,0.094,0.094,0.094,0.094
2014-02-03T22:00:00Z,0.65,0.65,0.65,0.65,0.093,0.093,0.093,0.093
2014-02-04T22:00:00Z,0.648,0.648,0.648,0.648,0.091,0.091,0.091,0.091
2014-02-05T22:00:00Z,0.711,0.711,0.711,0.711,0.111,0.111,0.111,0.111
2014-02-06T22:00:00Z,0.666,0.666,0.666,0.666,0.112,0.112,0.112,0.112
2014-02-09T22:00:00Z,0.684,0.684,0.684,0.684,0.104,0.104,0.104,0.104
2014-02-10T22:00:00Z,0.682,0.682,0.682,0.682,0.11,0.11,0.11,0.11
2014-02-11T22:00:00Z,0.707,0.707,0.707,0.707,0.1,0.1,0.1,0.1
2014-02-12T22:00:00Z,0.66,0.66,0.66,0.66,0.099,0.099,0.099,0.099
2014-02-13T22:00:00Z,0.679,0.679,0.679,0.679,0.095,0.095,0.095,0.095
2014-02-16T22:00:00Z,0.678,0.678,0.678,0.678,0.106,0.106,0.106,0.106
2014-02-17T22:00:00Z,0.662,0.662,0.662,0.662,0.087,0.087,0.087,0.087
2014-02-18T22:00:00Z,0.654,0.654,0.654,0.654,0.105,0.105,0.105,0.105
2014-02-19T22:00:00Z,0.692,0.692,0.692,0.692,0.087,0.087,0.087,0.087
2014-02-20T22:00:00Z,0.666,0.666,0.666,0.666,0.079,0.079,0.079,0.079
2014-02-23T22:00:00Z,0.685,0.685,0.685,0.685,0.094,0.094,0.094,0.094
2014-02-24T22:00:00Z,0.672,0.672,0.672,0.672,0.1,0.1,0.1,0.1
2014-02-25T22:00:00Z,0.63,0.63,0.63,0.63,0.082,0.082,0.082,0.082
2014-02-26T22:00:00Z,0.596,0.596,0.596,0.596,0.07,0.07,0.07,0.07
2014-02-27T22:00:00Z,0.67,0.67,0.67,0.67,0.081,0.081,0.081,0.081
2014-03-02T22:00:00Z,0.611,0.611,0.611,0.611,0.082,0.082,0.082,0.082
2014-03-03T22:00:00Z,0.629,0.629,0.629,0.629,0.099,0.099,0.099,0.099
2014-03-04T22:00:00Z,0.626,0.626,0.626,0.626,0.101,0.101,0.101,0.101
2014-03-05T22:00:00Z,0.686,0.686,0.686,0.686,0.122,0.122,0.122,0.122
2014-03-06T22:00:00Z,0.688,0.688,0.688,0.688,0.163,0.163,0.163,0.163
2014-03-09T21:00:00Z,0.665,0.665,0.665,0.665,0.137,0.137,0.137,0.137
2014-03-10T21:00:00Z,0.673,0.673,0.673,0.673,0.139,0.139,0.139,0.139
2014-03-11T21:00:00Z,0.633,0.633,0.633,0.633,0.136,0.136,0.136,0.136
2014-03-12T21:00:00Z,0.592,0.592,0.592,0.592,0.124,0.124,0.124,0.124
2014-03-13T21:00:00Z,0.598,0.598,0.598,0.598,0.133,0.133,0.133,0.133
2014-03-16T21:00:00Z,0.613,0.613,0.613,0.613,0.129,0.129,0.129,0.129
2014-03-17T21:00:00Z,0.612,0.612,0.612,0.612,0.157,0.157,0.157,0.157
